instance_id,repo,language,mech_class,mech_category,mech_confidence,mech_secondary,mech_why,mech_risk,behavior_prior,prior_why,prior_confidence,realized_label,realized_mix,realized_source,ps_chars,ps_has_traceback,ps_has_repro,hints_chars,patch_files,patch_hunks,patch_add,patch_del,patch_exts,test_files,test_hunks,test_add,n_f2p,n_p2p,touches_header,touches_build,touches_core
valkey-io__valkey-1842,valkey-io/valkey,C,B,B,medium,A,"valkey -> B (secondary A). scope=4 (ACL LOAD primary/replica tcl tests) with patch_files=1/hunks=1/add=3 -> both terms minimal. W-LOWLEV (4 < median 4.5), tier B.M. hints_chars=17207 is the largest in C by 5x — that inflates the harness fence and API cost, not the tool fence, so it is a covariate only and must not be read as a magnitude signal.",high,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,934,0,1,17207,1,1,3,0,.c,1,1,37,1,3,0,0,1
valkey-io__valkey-790,valkey-io/valkey,C,B,B,medium,A,"valkey -> B (secondary A). scope=5 but the tests are CLUSTER tests ('Cluster should start ok', 'Kill a node and tell the replica to immediately takeover') which stand up a multi-node cluster, so per-test CPU is far above a plain unit test — scope understates the run term here, one of the few places the static feature is actively misleading. patch_files=1/hunks=2/add=35, test_add=55. Tier B.L by rank (spread 47x), no warn flags, ps=3550.",medium,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,3550,0,1,82,1,2,35,31,.c,1,1,55,1,4,0,0,1
valkey-io__valkey-928,valkey-io/valkey,C,B,B,medium,A,"valkey -> B (secondary A). scope=1 = C-column minimum, and PASS_TO_PASS is literally EMPTY (n_p2p=0) — a single F2P valkey-cli CLUSTER SETSLOT/NOREPLICAS test with zero regression ballast. patch_files=1/hunks=1/add=9. W-LOWLEV, tier B.S. Partial mitigation: the cluster harness starts 8 nodes, so server-startup CPU is not negligible. Highest magnitude risk in C; also flag as a dataset-quality oddity.",high,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,7824,0,1,3272,1,1,9,2,.c,1,1,34,1,0,0,0,1
fmtlib__fmt-1683,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=1+42=43, rank 6/11, pctile 50 -> B.M. ps_chars=850 -> no W-READ. Not < median(43), so no W-LOWLEV. W-CONFOUND. patch=include/fmt/printf.h only (narrow rebuild fan-in), test TU=test/printf-test.cc, F2P PrintfTest.MinusFlag. patch_add=4 -> no W-BIGDIFF.","low-medium - scope 43 = exactly the fmt median, but its test TU is test/printf-test.cc, materially smaller than format-test.cc, so the compile intercept is lower than the measured reference. Selection-state flag X-DUP.",T,heavy verify set (1+42 tests),"low (1/10 vs realized labels, report 17)",,,,850,0,0,153,1,1,4,1,.h,1,1,4,1,42,1,0,1
fmtlib__fmt-2310,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=2+102=104; 104-tie with fmt-2317 broken by larger test_hunks (2 vs 1) -> ranks above it, rank 8/11, pctile 68 -> B.M. ps_chars=544 -> W-READ; read it: quotes the sign-aware-zero-padding docs and shows fmt::print(""'{:+06}'"", NAN) -> '00+nan' -> concrete, kept. W-CONFOUND. patch_files=2 (core.h+format.h) but <3 -> no W-BIGDIFF.","low - scope 104 on format-test.cc and the gold patch touches include/fmt/core.h (the header every test TU includes) -> maximal rebuild breadth, same as the measured fmt-3248. Selection-state flag X-DUP.",T,heavy verify set (2+102 tests),"low (1/10 vs realized labels, report 17)",,,,544,0,1,0,2,2,6,2,.h,1,2,13,2,102,1,0,1
fmtlib__fmt-2317,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=1+103=104, rank 7/11 (loses the 104-tie to fmt-2310 on test_hunks 1 vs 2), pctile 59 -> B.M. ps_chars=607 -> just above the W-READ band, no read required. W-CONFOUND. patch_files=1, patch_hunks=2, patch_add=8 -> no W-BIGDIFF. test TU=test/format-test.cc, F2P format_test.format_double.",low - scope 104 on format-test.cc; fence rests on the same build intercept as the measured reference. Selection-state flag X-DUP.,T,heavy verify set (1+103 tests),"low (1/10 vs realized labels, report 17)",,,,607,0,1,0,1,2,8,7,.h,1,1,2,1,103,1,0,1
fmtlib__fmt-2457,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=1+18=19, rank 2/11, pctile 14 -> B.S. ps_chars=754 -> no W-READ. W-LOWLEV, W-CONFOUND. patch=include/fmt/ranges.h, patch_add=34 -> no W-BIGDIFF. test TU=test/ranges-test.cc, F2P ranges_test.join_tuple.","low-medium - scope 19 (W-LOWLEV, 2nd lowest in C++) on ranges-test.cc. B's no-scope-gate exemption admits it, so adequacy falls entirely to the layer-2 probe / layer-3 post-episode gate. Selection-state flag X-DUP.",M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,754,0,1,243,1,1,34,20,.h,1,1,13,1,18,1,0,1
fmtlib__fmt-3158,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=1+24=25, rank 3/11, pctile 23 -> B.S. ps_chars=4171 -> no W-READ (longest C++ PS). W-LOWLEV (25<43), W-CONFOUND. patch_files=1/hunks=2/add=3 -> no W-BIGDIFF. test TU=test/ranges-test.cc, F2P ranges_test.format_vector (same test as fmt-3863).","low-medium - scope 25 (W-LOWLEV), ranges-test.cc TU, duplicate F2P with fmt-3863; its 6105-char hints_text also makes the task easy -> few actions -> thin harness fence. Selection-state flag X-DUP.",T,heavy verify set (1+24 tests),"low (1/10 vs realized labels, report 17)",,,,4171,0,1,6105,1,2,3,2,.h,1,1,8,1,24,1,0,1
fmtlib__fmt-3248,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> STEP 0 mech=B (total function of repo). ps_chars=380 passes R1 (>=150); B has no scope gate (1f). scope=2+115=117 -> within-fmt rank 9/11, pctile 77 -> label B.L. Flags: W-READ (380<600; PS names {:<06}/{:>06} with expected-vs-actual -> concrete, not downgraded), W-CONFOUND (fmt=11/12 of C++). test TU=test/format-test.cc, patch=include/fmt/core.h (included by every TU -> max rebuild breadth).","none - ALREADY PROFILED (reference row). Cross-check: measured compile 97%, 13128 Ginstr = class maximum, exactly as B predicts.",T,heavy verify set (2+115 tests),"low (1/10 vs realized labels, report 17)",S,S=71% E=11% T=4% B=13%,SWE_clean,380,0,1,0,1,1,3,1,.h,1,2,11,2,115,1,0,1
fmtlib__fmt-3272,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=1+34=35, rank 5/11, pctile 41 -> B.M. ps_chars=966 -> no W-READ. W-LOWLEV (35<43), W-CONFOUND. patch_files=1, patch_add=1 (smallest diff in C++) -> no W-BIGDIFF, and per known_limits patch size is not a CPU predictor. test TU=test/xchar-test.cc, F2P locale_test.localized_double.","low-medium - scope 35 < fmt median 43 (W-LOWLEV) and xchar-test.cc is one of fmt's smaller TUs; still a header-only template compile, so expected above the floor but with less margin. Selection-state flag X-DUP.",T,heavy verify set (1+34 tests),"low (1/10 vs realized labels, report 17)",,,,966,0,1,0,1,1,1,1,.h,1,1,3,1,34,1,0,1
fmtlib__fmt-3729,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=1+12=13 = min within fmt, rank 1/11, pctile 5 -> B.S. ps_chars=684 -> no W-READ. W-LOWLEV, W-CONFOUND. patch_add=13 -> no W-BIGDIFF. Also the maximally INFORMATIVE within-fmt contrast to the banked fmt-3248 (same repo/toolchain, 9.5x scope spread, smallest-vs-largest TU).","medium - lowest scope in C++ (13, W-LOWLEV) AND fmt's smallest test TU (test/std-test.cc, F2P std_test.path), patching only include/fmt/std.h (narrowest fan-in in fmt). If the harness's ctest invocation is target-scoped rather than whole-project, this is the one C++ instance whose fence could plausibly land near the 20 core-s floor. Selection-state flag X-DUP.",M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,684,0,1,41,1,2,13,2,.h,1,1,7,1,12,1,0,1
fmtlib__fmt-3750,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=1+119=120 -> B.L (pctile 86). ps_chars=314 -> W-READ; read it: names the 'L' locale specifier being ignored vs the type specifier, with a std::format/fmt::format side-by-side repro -> concrete, kept. W-CONFOUND. patch_add=53<80, patch_hunks=2 -> no W-BIGDIFF. test TU=test/format-test.cc, F2P format_test.format_locale (one test, but the TU rebuild is the cost).","low - scope 120 (rank 10/11) on format-test.cc, i.e. the same compile intercept that produced 13128 Ginstr for fmt-3248. Selection-state flag X-DUP.",T,heavy verify set (1+119 tests),"low (1/10 vs realized labels, report 17)",,,,314,0,1,1110,1,2,53,16,.h,1,1,8,1,119,1,0,1
fmtlib__fmt-3863,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=1+33=34, rank 4/11, pctile 32 -> B.S. ps_chars=464 -> W-READ; read it: names the C++23 's' formatter on char ranges, cites p2286r8, shows the 'invalid format specifier' failure plus godbolt -> concrete, kept. W-LOWLEV, W-CONFOUND. patch_add=56, patch_hunks=3, patch_files=1 -> no W-BIGDIFF. test TU=test/ranges-test.cc.","low-medium - scope 34 (W-LOWLEV) on ranges-test.cc; also a near-duplicate target of fmt-3158 (identical F2P ranges_test.format_vector), so sampling both would waste budget. Selection-state flag X-DUP.",T,heavy verify set (1+33 tests),"low (1/10 vs realized labels, report 17)",,,,464,0,0,57,1,3,56,6,.h,1,1,5,1,33,1,0,1
fmtlib__fmt-3901,fmtlib/fmt,C++,B,B,high,,"repo=fmtlib/fmt -> B. scope=1+122=123 = max within fmt, rank 11/11, pctile 95 -> B.L. ps_chars=274 -> W-READ; read it: names fmt::group_digits(-12345), expected -12,345 vs actual 18,446,744,073,709,539,271, godbolt repro -> concrete, NOT X-DEGEN. W-CONFOUND. patch_files=1, patch_hunks=1, patch_add=4 -> no W-BIGDIFF. test TU=test/format-test.cc (fmt's largest, template-heavy).",low - highest scope in all of C++ and the same test TU as the measured fmt-3248; near-certain to clear the 20 core-s / 1000 Ginstr layer-3 gate. Selection-state flag X-DUP (fmt already sampled) unless declared a contrast-pair member.,T,heavy verify set (1+122 tests),"low (1/10 vs realized labels, report 17)",,,,274,0,1,158,1,1,4,3,.h,1,1,3,1,122,1,0,1
nlohmann__json-4237,nlohmann/json,C++,B,B,high,,"repo=nlohmann/json -> STEP 0 mech=B. ps_chars=2904 passes R1; B has no scope gate. scope=1+21=22, but repo max/min = 1 -> W-NOLEV -> tier F -> label B.F. No W-CONFOUND (repo share 1/12=0.08). patch_files=2/hunks=2/add=4 -> no W-BIGDIFF. Decisive structural feature absent from the CSV: the gold patch touches single_include/nlohmann/json.hpp, the ~24k-line amalgamated header every test TU includes -> maximal rebuild breadth; test TU=tests/src/unit-udt.cpp and the F2P is a doctest name ('basic usage > conversion to json via free-functions'), a different runner from fmt's gtest.","low-medium - the only C++ instance with no X-DUP flag, hence the only spendable one; but W-NOLEV (repo n=1, spread 1x) means it can support only a repo/class-level existence claim, never a within-repo instance effect. Fence magnitude rests entirely on an UNMEASURED build intercept (no nlohmann reference row) -> run the free layer-2 repo probe before committing the episode.",M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,2904,0,1,0,2,2,4,2,.hpp,1,9,20,1,21,1,0,1
caddyserver__caddy-4774,caddyserver/caddy,Go,A,A,high,X-SMALL (A),"repo caddyserver/caddy -> mech A by STEP 0 lookup. scope=n_f2p1+n_p2p0=1, fails 1d (A needs >=10). patch_files=2/hunks=6/add=24 is harness-fence covariate only, not a CPU predictor.",high (X-SMALL: R3 scope 1 < 10),M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,1552,0,1,0,2,6,24,5,.go,1,3,5,1,0,0,0,1
caddyserver__caddy-4943,caddyserver/caddy,Go,A,A,high,X-SMALL (A),caddy -> A. scope=1+5=6 < 10 -> 1d X-SMALL. ps_chars=2966 is ample but ps length is not a magnitude feature (Spearman ~0 in reference set).,high (X-SMALL: R3 scope 6 < 10),M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,2966,0,1,209,1,3,9,2,.go,1,2,9,1,5,0,0,1
caddyserver__caddy-5404,caddyserver/caddy,Go,A,A,high,A.M,"caddy -> A. scope=1+18=19 >= 10, ps_chars=3408 (>600, no W-READ). Ascending rank 3/4 among caddy eligibles -> tier M. No warn flags (patch 1 file/3 hunks/13 add, below all W-BIGDIFF cuts).",low,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,3408,1,1,101,1,3,13,6,.go,2,7,64,1,18,0,0,1
caddyserver__caddy-5626,caddyserver/caddy,Go,A,A,high,X-SMALL (A),caddy -> A. scope=1+1=2 -> 1d X-SMALL. patch_files=3 would have fired W-BIGDIFF but exclusion precedes flagging.,high (X-SMALL: R3 scope 2 < 10),E,large fix (3f/6h/30+),"low (1/10 vs realized labels, report 17)",,,,754,0,1,42,3,6,30,25,.go,1,1,73,1,1,0,0,1
